Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
08:13.0,0.18,0.26,-0.74,-1,40.6,0.348,0
08:13.0,0.2,0.25,-0.72,-1,40.2,0.348,0
08:13.1,0.19,0.27,-0.73,-1,40.2,0.348,0
08:13.1,0.18,0.27,-0.75,-1,40.4,0.348,0
08:13.1,0.17,0.27,-0.74,-1,40.2,0.348,0
08:13.2,0.18,0.26,-0.74,-1,40.2,0.348,0
08:13.2,0.18,0.25,-0.75,-1,40.2,0.348,0
08:13.2,0.18,0.24,-0.74,-1,40.2,0.348,0
08:13.3,0.17,0.27,-0.75,-1,40.2,0.348,0
08:13.3,0.17,0.26,-0.74,-1,40.2,0.348,0
08:13.3,0.17,0.26,-0.75,-1,40.2,0.346,0
08:13.3,0.19,0.26,-0.73,-1,40.2,0.346,0
08:13.4,0.19,0.25,-0.74,-1,40.2,0.348,0
08:13.4,0.17,0.25,-0.74,-1,40.2,0.346,0
08:13.4,0.24,0.26,-0.74,-1,40.2,0.348,0
08:13.5,0.14,0.33,-0.75,-1,40.2,0.346,0
08:13.5,0.17,0.3,-0.71,-1,40.2,0.348,0
08:13.5,0.18,0.3,-0.73,-1,40.2,0.346,0
08:13.6,0.19,0.32,-0.74,-1,40.2,0.346,0
08:13.6,0.16,0.31,-0.74,-1,40.2,0.346,0
08:13.6,0.13,0.3,-0.69,-1,40.2,0.346,0
08:13.7,0.19,0.34,-0.73,-1,40.2,0.346,0
08:13.7,0.17,0.33,-0.73,-1,40.2,0.346,0
08:13.7,0.15,0.31,-0.74,-1,40.2,0.346,0
08:13.8,0.16,0.29,-0.73,-1,40.2,0.346,0
08:13.8,0.17,0.29,-0.72,-1,40.2,0.346,0
08:13.8,0.19,0.3,-0.73,-1,40.2,0.346,0
08:13.8,0.17,0.31,-0.73,-1,40.2,0.346,0
08:13.9,0.16,0.32,-0.73,-1,40.2,0.346,0
08:13.9,0.16,0.32,-0.72,-1,40.2,0.346,0
08:13.9,0.16,0.32,-0.73,-1,40.2,0.346,0
08:14.0,0.17,0.31,-0.72,-1,40.2,0.346,0
08:14.0,0.17,0.31,-0.73,-1,40.2,0.346,0
08:14.0,0.17,0.31,-0.72,-1,40.2,0.346,0
08:14.1,0.17,0.31,-0.73,-1,40.2,0.346,0
08:14.1,0.17,0.32,-0.72,-1,40.4,0.346,0
08:14.1,0.17,0.32,-0.73,-1,40.2,0.346,0
08:14.2,0.16,0.32,-0.72,-1,40.2,0.346,0
08:14.2,0.16,0.33,-0.73,-1,40.2,0.346,0
08:14.2,0.16,0.32,-0.72,-1,40.2,0.346,0
08:14.2,0.17,0.32,-0.72,-1,40.2,0.346,0
08:14.3,0.16,0.31,-0.72,-1,40.2,0.346,0
08:14.3,0.16,0.32,-0.72,-1,40.2,0.342,0
08:14.3,0.16,0.32,-0.73,-1,40.2,0.342,0
08:14.4,0.16,0.33,-0.73,-1,40.2,0.346,0
08:14.4,0.16,0.34,-0.73,-1,40.2,0.346,0
08:14.4,0.16,0.34,-0.73,-1,40.2,0.346,0
08:14.5,0.16,0.34,-0.72,-1,40.2,0.343,0
08:14.5,0.16,0.33,-0.72,-1,40.2,0.34,0
08:14.5,0.15,0.32,-0.72,-1,40.2,0.34,0
08:14.6,0.15,0.33,-0.72,-1,40.2,0.34,0
