Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
08:36.0,0,0.55,-0.65,-1,38.7,0.002,0
08:36.0,0,0.56,-0.67,-1,38.5,0,0
08:36.1,0,0.56,-0.66,-1,38.5,0,0
08:36.1,0,0.56,-0.66,-1,38.5,0,0
08:36.1,0,0.56,-0.66,-1,38.5,0,0
08:36.2,0,0.57,-0.66,-1,38.5,0,0
08:36.2,0,0.54,-0.65,-1,38.5,0,0
08:36.2,0,0.55,-0.66,-1,38.5,0,0
08:36.3,0,0.56,-0.66,-1,38.5,0,0
08:36.3,0,0.56,-0.66,-1,38.5,0,0
08:36.3,0,0.55,-0.64,-1,38.5,0,0
08:36.3,0,0.56,-0.66,-1,38.5,0.002,0
08:36.4,0,0.55,-0.66,-1,38.5,0,0
08:36.4,0,0.56,-0.65,-1,38.5,0,0
08:36.4,0,0.55,-0.65,-1,38.5,0,0
08:36.5,0,0.56,-0.65,-1,38.5,0,0
08:36.5,0,0.56,-0.66,-1,38.3,0.002,0
08:36.5,0,0.56,-0.65,-1,38.5,0,0
08:36.6,0,0.56,-0.65,-1,38.5,0.002,0
08:36.6,0,0.57,-0.65,-1,38.5,0.002,0
08:36.6,0,0.56,-0.65,-1,38.5,0.002,0
08:36.7,0,0.57,-0.66,-1,38.5,0.002,0
08:36.7,0,0.55,-0.66,-1,38.5,0.002,0
08:36.7,0,0.56,-0.65,-1,38.5,0.002,0
08:36.7,0,0.54,-0.65,-1,38.5,0.002,0
08:36.8,0,0.56,-0.66,-1,38.5,0.002,0
08:36.8,0,0.57,-0.65,-1,38.5,0,0
08:36.8,0,0.57,-0.65,-1,38.5,0.002,0
08:36.9,0,0.56,-0.65,-1,38.5,0.002,0
08:36.9,0,0.56,-0.66,-1,38.5,0.002,0
08:36.9,0,0.56,-0.66,-1,38.5,0,0
08:37.0,0,0.55,-0.65,-1,38.5,0.002,0
08:37.0,0,0.55,-0.65,-1,38.5,0.002,0
08:37.0,0,0.57,-0.66,-1,38.5,0,0
08:37.1,0,0.56,-0.65,-1,38.5,0.002,0
