Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
00:00.0,0.35,0.63,-0.42,-1,23.5,0,0
00:00.0,0.36,0.63,-0.38,-1,23.5,0,0
00:00.1,0.37,0.62,-0.37,-1,23.5,0,0
00:00.1,0.37,0.62,-0.38,-1,23.5,0,0
00:00.1,0.37,0.62,-0.39,-1,23.5,0,0
00:00.2,0.36,0.61,-0.39,-1,23.5,0,0
00:00.2,0.36,0.61,-0.4,-1,23.5,0,0
00:00.2,0.37,0.62,-0.4,-1,23.5,0,0
00:00.3,0.36,0.62,-0.4,-1,23.7,0,0
00:00.3,0.36,0.62,-0.4,-1,23.5,0,0
00:00.3,0.36,0.62,-0.4,-1,23.5,0,0
00:00.3,0.37,0.62,-0.39,-1,23.5,0,0
00:00.4,0.35,0.62,-0.39,-1,23.7,0,0
00:00.4,0.35,0.6,-0.39,-1,23.5,0,0
00:00.4,0.36,0.63,-0.4,-1,23.5,0,0
00:00.5,0.36,0.61,-0.41,-1,23.7,0,0
00:00.5,0.36,0.61,-0.4,-1,23.5,0,0
00:00.5,0.36,0.63,-0.4,-1,23.7,0,0
00:00.6,0.36,0.61,-0.39,-1,23.7,0,0
00:00.6,0.36,0.61,-0.4,-1,23.7,0,0
00:00.6,0.36,0.62,-0.4,-1,23.5,0,0
00:00.7,0.35,0.61,-0.4,-1,23.7,0,0
00:00.7,0.36,0.61,-0.4,-1,23.7,0,0
00:00.7,0.35,0.62,-0.41,-1,23.7,0,0
00:00.8,0.36,0.62,-0.41,-1,23.5,0,0
00:00.8,0.35,0.61,-0.4,-1,23.7,0,0
00:00.8,0.35,0.6,-0.41,-1,23.7,0,0
00:00.8,0.36,0.63,-0.41,-1,23.7,0,0
00:00.9,0.35,0.63,-0.4,-1,23.5,0,0
00:00.9,0.24,0.59,-0.41,-1,23.5,0,0
00:00.9,0.36,0.61,-0.41,-1,23.7,0,0
00:01.0,0.33,0.58,-0.4,-1,23.7,0,0
00:01.0,0.36,0.61,-0.4,-1,23.7,0,0
00:01.0,0.36,0.6,-0.4,-1,23.7,0,0
00:01.1,0.36,0.61,-0.41,-1,23.5,0,0
00:01.1,0.36,0.62,-0.41,-1,23.7,0,0
00:01.1,0.36,0.61,-0.42,-1,23.7,0,0
00:01.2,0.36,0.61,-0.42,-1,23.7,0,0
00:01.2,0.35,0.61,-0.42,-1,23.5,0,0
00:01.2,0.36,0.61,-0.42,-1,23.7,0,0
00:01.3,0.36,0.6,-0.42,-1,23.7,0,0
00:01.3,0.36,0.6,-0.42,-1,23.7,0,0
00:01.3,0.35,0.57,-0.43,-1,23.7,0,0
00:01.3,0.37,0.6,-0.41,-1,23.7,0,0
00:01.4,0.37,0.59,-0.39,-1,23.5,0,0
00:01.4,0.36,0.57,-0.4,-1,23.7,0,0
00:01.4,0.36,0.57,-0.44,-1,23.7,0,0
00:01.5,0.36,0.62,-0.44,-1,23.7,0,0
00:01.5,0.35,0.6,-0.42,-1,23.7,0,0
00:01.5,0.36,0.57,-0.43,-1,23.7,0,0
00:01.6,0.37,0.6,-0.44,-1,23.7,0,0
00:01.6,0.36,0.57,-0.43,-1,23.7,0,0
00:01.6,0.36,0.59,-0.44,-1,23.7,0,0
00:01.7,0.36,0.58,-0.43,-1,23.7,0,0
00:01.7,0.36,0.58,-0.44,-1,23.7,0,0
00:01.7,0.36,0.58,-0.44,-1,23.7,0,0
00:01.8,0.36,0.58,-0.44,-1,23.7,0,0
00:01.8,0.36,0.58,-0.44,-1,23.7,0,0
00:01.8,0.36,0.58,-0.43,-1,23.7,0,0
00:01.8,0.36,0.59,-0.44,-1,23.7,0,0
00:01.9,0.36,0.57,-0.43,-1,23.7,0,0
00:01.9,0.36,0.58,-0.45,-1,23.7,0,0
00:01.9,0.35,0.58,-0.45,-1,23.7,0,0
00:02.0,0.35,0.57,-0.45,-1,23.7,0,0
00:02.0,0.36,0.57,-0.44,-1,23.7,0,0
00:02.0,0.36,0.58,-0.45,-1,23.7,0,0
00:02.1,0.36,0.57,-0.45,-1,23.7,0,0
00:02.1,0.36,0.57,-0.45,-1,23.7,0,0
00:02.1,0.36,0.57,-0.45,-1,23.7,0,0
00:02.2,0.35,0.58,-0.45,-1,23.7,0,0
00:02.2,0.35,0.57,-0.46,-1,23.7,0,0
00:02.2,0.36,0.57,-0.45,-1,23.7,0,0
00:02.3,0.36,0.57,-0.45,-1,23.7,0,0
00:02.3,0.37,0.56,-0.46,-1,23.7,0,0
00:02.3,0.37,0.57,-0.46,-1,23.7,0,0
00:02.3,0.36,0.58,-0.46,-1,23.7,0,0
00:02.4,0.37,0.57,-0.46,-1,23.7,0,0
00:02.4,0.35,0.55,-0.45,-1,23.7,0,0
00:02.4,0.35,0.55,-0.45,-1,23.7,0,0
00:02.5,0.35,0.54,-0.45,-1,23.7,0,0
00:02.5,0.35,0.55,-0.45,-1,23.7,0,0
00:02.5,0.34,0.56,-0.45,-1,23.7,0,0
00:02.6,0.35,0.57,-0.46,-1,23.7,0,0
00:02.6,0.35,0.57,-0.47,-1,23.7,0,0
00:02.6,0.35,0.57,-0.47,-1,23.7,0,0
00:02.7,0.34,0.56,-0.47,-1,23.7,0,0
00:02.7,0.34,0.56,-0.46,-1,23.7,0,0
00:02.7,0.35,0.55,-0.46,-1,23.7,0,0
00:02.8,0.35,0.56,-0.46,-1,23.7,0,0
00:02.8,0.35,0.56,-0.47,-1,23.7,0,0
00:02.8,0.35,0.55,-0.47,-1,23.7,0,0
00:02.8,0.35,0.56,-0.47,-1,23.7,0,0
00:02.9,0.35,0.56,-0.46,-1,23.7,0,0
00:02.9,0.35,0.56,-0.47,-1,23.7,0,0
00:02.9,0.35,0.56,-0.47,-1,23.7,0,0
00:03.0,0.36,0.56,-0.47,-1,23.7,0,0
00:03.0,0.35,0.56,-0.47,-1,23.7,0,0
00:03.0,0.35,0.56,-0.47,-1,23.7,0,0
00:03.1,0.35,0.55,-0.46,-1,23.7,0,0
00:03.1,0.34,0.55,-0.46,-1,23.7,0,0
00:03.1,0.34,0.55,-0.46,-1,23.7,0,0
00:03.2,0.36,0.57,-0.48,-1,23.7,0,0
00:03.2,0.37,0.57,-0.47,-1,23.7,0,0
00:03.2,0.36,0.55,-0.48,-1,23.7,0,0
00:03.3,0.33,0.53,-0.46,-1,23.7,0,0
00:03.3,0.37,0.53,-0.45,-1,23.7,0,0
00:03.3,0.36,0.54,-0.44,-1,23.7,0,0
00:03.3,0.34,0.56,-0.46,-1,23.7,0,0
00:03.4,0.33,0.56,-0.47,-1,23.7,0,0
00:03.4,0.33,0.56,-0.48,-1,23.7,0,0
00:03.4,0.41,0.64,-0.38,-1,23.7,0,0
00:03.5,0.29,0.56,-0.47,-1,23.7,0,0
00:03.5,0.38,0.57,-0.49,-1,23.7,0,0
00:03.5,0.28,0.6,-0.46,-1,23.7,0,0
00:03.6,0.38,0.48,-0.43,-1,23.7,0,0
00:03.6,0.31,0.54,-0.4,-1,23.7,0,0
00:03.6,0.37,0.67,-0.45,-1,23.7,0,0
00:03.7,0.36,0.63,-0.45,-1,23.7,0,0
00:03.7,0.32,0.63,-0.45,-1,23.7,0,0
00:03.7,0.28,0.62,-0.41,-1,23.7,0,1
00:03.8,0.33,0.65,-0.41,-1,23.7,0,0
00:03.8,0.33,0.63,-0.44,-1,23.7,0,0
00:03.8,0.35,0.62,-0.44,-1,23.7,0,0
00:03.8,0.38,0.62,-0.46,-1,23.7,0,0
00:03.9,0.35,0.58,-0.44,-1,23.7,0,0
00:03.9,0.35,0.63,-0.37,-1,23.7,0,0
00:03.9,0.31,0.73,-0.32,-1,23.7,0,0
00:04.0,-0.16,0.23,-0.18,-1,23.7,0,0
00:04.0,0.4,0.53,-0.39,-1,23.7,0,0
00:04.0,0.36,0.53,-0.4,-1,23.7,0,0
00:04.1,0.34,0.59,-0.4,-1,23.7,0,0
00:04.1,0.32,0.61,-0.41,-1,23.7,0,0
00:04.1,0.32,0.61,-0.44,-1,23.7,0,0
00:04.2,0.32,0.57,-0.44,-1,23.7,0,0
00:04.2,0.33,0.57,-0.46,-1,23.7,0,0
00:04.2,0.34,0.59,-0.44,-1,23.7,0,0
00:04.3,0.35,0.57,-0.44,-1,23.7,0,0
00:04.3,0.35,0.58,-0.44,-1,23.7,0,0
00:04.3,0.34,0.58,-0.43,-1,23.7,0,0
00:04.3,0.34,0.58,-0.44,-1,23.7,0,0
00:04.4,0.33,0.57,-0.44,-1,23.9,0,0
00:04.4,0.34,0.58,-0.45,-1,23.7,0,0
00:04.4,0.33,0.59,-0.46,-1,23.7,0,0
00:04.5,0.33,0.58,-0.44,-1,23.7,0,0
00:04.5,0.33,0.59,-0.44,-1,23.7,0,0
00:04.5,0.33,0.58,-0.44,-1,23.7,0,0
00:04.6,0.32,0.57,-0.45,-1,23.7,0,0
00:04.6,0.33,0.59,-0.45,-1,23.7,0,0
00:04.6,0.33,0.58,-0.44,-1,23.7,0,0
00:04.7,0.33,0.58,-0.45,-1,23.7,0,0
00:04.7,0.33,0.58,-0.45,-1,23.7,0,0
00:04.7,0.33,0.57,-0.45,-1,23.7,0,0
00:04.8,0.33,0.58,-0.45,-1,23.7,0,0
00:04.8,0.34,0.58,-0.45,-1,23.7,0,0
00:04.8,0.33,0.56,-0.46,-1,23.7,0,0
00:04.8,0.33,0.58,-0.45,-1,23.7,0,0
00:04.9,0.33,0.57,-0.45,-1,23.7,0,0
00:04.9,0.33,0.58,-0.46,-1,23.9,0,0
00:04.9,0.33,0.58,-0.45,-1,23.9,0,0
00:05.0,0.33,0.56,-0.45,-1,23.7,0,0
00:05.0,0.33,0.57,-0.45,-1,23.9,0,0
00:05.0,0.33,0.57,-0.46,-1,23.7,0,0
00:05.1,0.33,0.57,-0.45,-1,23.9,0,0
00:05.1,0.34,0.58,-0.45,-1,23.9,0,0
00:05.1,0.33,0.56,-0.45,-1,23.7,0,0
00:05.2,0.33,0.57,-0.46,-1,23.9,0,0
00:05.2,0.32,0.56,-0.46,-1,23.7,0,0
