Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
18:59.0,-0.04,0.23,-0.9,-1,36.8,0.01,1
18:59.0,-0.04,0.19,-0.79,-1,36.8,0.01,1
18:59.1,-0.11,0.1,-0.75,-1,36.8,0.008,1
18:59.1,-0.14,0.12,-0.75,-1,36.8,0.01,1
18:59.1,-0.16,0.1,-0.67,-1,36.8,0.01,1
18:59.2,-0.17,0.05,-0.64,-1,36.8,0.01,1
18:59.2,-0.17,0.07,-0.64,-1,36.8,0.01,1
18:59.2,-0.12,0.09,-0.7,-1,36.8,0.01,1
18:59.2,-0.1,0.09,-0.82,-1,36.8,0.01,1
18:59.3,0,-0.01,-1.16,-1,36.8,0.01,1
18:59.3,-0.06,0.1,-0.92,-1,36.8,0.01,1
18:59.3,-0.11,0.07,-0.71,-1,36.8,0.01,1
18:59.4,-0.08,0.15,-0.84,-1,36.8,0.01,1
18:59.4,-0.08,0.12,-0.86,-1,36.8,0.01,1
18:59.4,-0.08,0.09,-0.83,-1,36.8,0.01,1
18:59.5,-0.08,0.11,-0.83,-1,36.8,0.01,1
18:59.5,-0.08,0.09,-0.84,-1,36.8,0.01,1
18:59.5,-0.08,0.11,-0.82,-1,36.8,0.01,1
18:59.6,-0.08,0.13,-0.82,-1,36.8,0.01,1
18:59.6,-0.07,0.12,-0.83,-1,36.8,0.01,1
18:59.6,-0.08,0.11,-0.84,-1,36.8,0.01,1
18:59.7,-0.08,0.11,-0.83,-1,36.8,0.01,1
18:59.7,-0.08,0.11,-0.83,-1,36.8,0.01,1
18:59.7,-0.08,0.1,-0.83,-1,36.8,0.01,1
18:59.8,-0.08,0.11,-0.83,-1,36.8,0.01,1
18:59.8,-0.08,0.11,-0.83,-1,36.8,0.01,1
18:59.8,-0.07,0.12,-0.83,-1,36.8,0.01,1
18:59.8,-0.07,0.1,-0.83,-1,36.8,0.01,1
18:59.9,-0.08,0.1,-0.83,-1,36.8,0.01,1
18:59.9,-0.07,0.11,-0.83,-1,36.8,0.008,1
18:59.9,-0.08,0.12,-0.82,-1,36.8,0.01,1
19:00.0,-0.07,0.11,-0.84,-1,36.8,0.01,1
19:00.0,-0.08,0.1,-0.83,-1,36.8,0.01,1
19:00.0,-0.07,0.11,-0.83,-1,36.8,0.01,1
19:00.1,-0.07,0.11,-0.82,-1,36.8,0.01,1
19:00.1,-0.08,0.11,-0.84,-1,36.8,0.01,1
19:00.1,-0.08,0.1,-0.82,-1,36.8,0.01,1
19:00.2,-0.08,0.11,-0.84,-1,36.8,0.008,1
19:00.2,-0.07,0.11,-0.83,-1,36.8,0.008,1
19:00.2,-0.07,0.1,-0.82,-1,36.8,0.01,1
19:00.3,-0.08,0.11,-0.83,-1,36.8,0.01,1
19:00.3,-0.07,0.11,-0.83,-1,36.8,0.008,1
19:00.3,-0.08,0.11,-0.81,-1,36.8,0.01,1
19:00.3,-0.07,0.12,-0.83,-1,36.8,0.008,1
19:00.4,-0.07,0.1,-0.84,-1,36.8,0.01,1
19:00.4,-0.07,0.11,-0.83,-1,36.8,0.008,1
19:00.4,-0.07,0.12,-0.83,-1,36.8,0.01,1
19:00.5,-0.07,0.12,-0.83,-1,36.8,0.008,1
19:00.5,-0.08,0.12,-0.83,-1,36.8,0.01,1
19:00.5,-0.08,0.1,-0.82,-1,36.8,0.008,1
19:00.6,-0.07,0.1,-0.83,-1,36.8,0.01,1
19:00.6,-0.07,0.11,-0.83,-1,36.8,0.008,1
19:00.6,-0.07,0.11,-0.83,-1,36.8,0.01,1
19:00.7,-0.08,0.11,-0.83,-1,36.8,0.01,1
19:00.7,-0.07,0.1,-0.83,-1,36.8,0.008,1
19:00.7,-0.03,0.07,-0.72,-1,36.8,0.01,1
19:00.7,-0.06,0.25,-0.78,-1,36.8,0.01,1
19:00.8,-0.05,0.16,-1.03,-1,36.8,0.008,1
19:00.8,-0.1,-0.01,-1,-1,36.8,0.008,1
19:00.8,-0.14,0,-1.04,-1,36.8,0.006,1
19:00.9,-0.21,0,-0.83,-1,36.8,0.006,1
19:00.9,-0.25,0.11,-0.61,-1,36.8,0.004,1
19:00.9,-0.23,0.21,-0.6,-1,36.8,0.004,1
19:01.0,-0.25,0.13,-0.58,-1,36.8,0.004,1
19:01.0,-0.27,0.1,-0.66,-1,36.8,0.004,1
19:01.0,-0.25,0.11,-0.81,-1,36.8,0.004,1
19:01.1,-0.19,0.12,-0.85,-1,36.8,0.004,1
19:01.1,-0.2,0.11,-0.91,-1,36.8,0.004,1
19:01.1,-0.2,0.08,-0.9,-1,36.8,0.004,1
19:01.2,-0.19,0.16,-0.83,-1,36.8,0.004,1
19:01.2,-0.22,0.14,-0.82,-1,36.8,0.004,1
19:01.2,-0.24,0.14,-0.79,-1,36.8,0.004,1
19:01.2,-0.23,0.13,-0.73,-1,36.8,0.004,1
19:01.3,-0.22,0.17,-0.74,-1,36.8,0.004,1
