Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
00:00.0,0.46,-0.84,-0.19,-1,40,0,0
00:00.0,0.49,-0.85,-0.17,-1,40,0,0
00:00.1,0.48,-0.84,-0.18,-1,40,0,0
00:00.1,0.46,-0.78,-0.17,-1,40,0,0
00:00.1,0.47,-0.83,-0.15,-1,40,0,0
00:00.2,0.53,-0.9,-0.14,-1,40,0,0
00:00.2,0.51,-0.85,-0.24,-1,40,0,0
00:00.2,0.65,-0.81,-0.41,-1,40,0,0
00:00.3,0.64,-0.93,-0.35,-1,40,0,0
00:00.3,0.46,-0.73,-0.48,-1,40,0,0
00:00.3,0.33,-0.57,-0.31,-1,40,0,0
00:00.3,0.38,-0.85,-0.28,-1,40,0,0
00:00.4,0.43,-0.91,0.02,-1,40,0,0
00:00.4,0.32,-0.71,-0.33,-1,40,0,0
00:00.4,0.32,-0.82,-0.19,-1,39.7,0,0
00:00.5,0.31,-0.75,-0.38,-1,40,0,0
00:00.5,0.81,-0.89,-0.87,-1,40,0,0
00:00.5,0.37,-0.92,-0.27,-1,40,0,0
00:00.6,0.18,-0.92,-0.34,-1,40,0,0
00:00.6,0.37,-0.83,-0.02,-1,40,0,0
00:00.6,0.26,-0.94,-0.21,-1,40,0,0
00:00.7,0.3,-0.94,-0.23,-1,40,0,0
00:00.7,0.31,-0.94,-0.24,-1,39.7,0,0
00:00.7,0.33,-0.91,-0.28,-1,40,0,0
00:00.8,0.33,-0.95,-0.3,-1,40,0,0
00:00.8,0.33,-0.89,-0.34,-1,39.7,0,0
00:00.8,0.38,-0.92,-0.42,-1,39.7,0,0
00:00.8,0.35,-0.83,-0.4,-1,40,0,0
00:00.9,0.31,-0.88,-0.4,-1,40,0,0
00:00.9,0.24,-0.79,-0.56,-1,40,0,0
00:00.9,0.35,-0.82,-0.68,-1,40,0,0
00:01.0,0.17,-0.8,-0.5,-1,40,0,0
00:01.0,0.05,-1,-0.38,-1,39.7,0,0
00:01.0,0.47,-0.94,-0.23,-1,40,0,0
00:01.1,0.12,-0.85,-0.3,-1,39.7,0,0
00:01.1,0.15,-0.79,-0.47,-1,39.7,0,0
00:01.1,0.07,-0.82,-0.32,-1,40,0,0
